dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_mean_4,ae_mean_5,ae_mean_6,ae_mean_7,ae_mean_8,ae_mean_9,ae_var_0,ae_var_1,ae_var_2,ae_var_3,ae_var_4,ae_var_5,ae_var_6,ae_var_7,ae_var_8,ae_var_9,ae_mean_10,ae_mean_11,ae_mean_12,ae_mean_13,ae_mean_14,ae_mean_15,ae_mean_16,ae_mean_17,ae_mean_18,ae_mean_19,ae_var_10,ae_var_11,ae_var_12,ae_var_13,ae_var_14,ae_var_15,ae_var_16,ae_var_17,ae_var_18,ae_var_19
44259,0.5,0.661111,0.5,0.711111,0.505556,0.5,gmm,1.0,0.538889,0.461111,0.14963103830814362,0.08819114416837692,0.32393839955329895,-0.050936538726091385,-0.14847466349601746,-0.4752899408340454,0.12771572172641754,0.35109418630599976,,,10.156841278076172,16.608861923217773,13.392237663269043,12.613814353942871,10.140933990478516,11.399394989013672,19.34546661376953,13.65722370147705,,,,,,,,,,,,,,,,,,,,,,
44158,0.655257,0.629584,0.650367,0.652812,0.627139,0.704156,dictlearn,0.812314,0.500497,0.311817,-0.6816233396530151,0.1267346888780594,0.2735797166824341,0.2883416712284088,0.23571433126926422,0.6332420706748962,-0.27855685353279114,0.5118194818496704,,,15.775919914245605,18.36454200744629,13.762816429138184,17.47119903564453,16.991901397705078,12.283178329467773,14.86662769317627,17.285755157470703,,,,,,,,,,,,,,,,,,,,,,
45547,0.703387,0.814956,0.7059,0.806614,0.81757,0.772741,autoenc,0.710643,0.500286,0.210357,1.3689730167388916,-2.4597952365875244,0.919573187828064,-0.7113732099533081,-0.8234196305274963,-1.494564175605774,1.9677876234054565,0.7086220979690552,,,5.660431385040283,4.386829376220703,3.783876657485962,5.644053936004639,3.562650680541992,4.469160556793213,5.323273658752441,7.116686820983887,,,,,,,,,,,,,,,,,,,,,,
44395,0.830409,0.845029,0.830409,0.830409,0.830409,0.748538,dbscan,0.855,0.5,0.355,0.09953324496746063,-0.7188000679016113,-0.04652943089604378,0.9191891551017761,1.927947998046875,1.3259575366973877,1.8004614114761353,-1.5938568115234375,,,3.8731157779693604,1.6659436225891113,3.7364110946655273,3.5630979537963867,1.5727535486221313,4.865793228149414,4.022524833679199,2.611140489578247,,,,,,,,,,,,,,,,,,,,,,
816,0.60369,0.60738,0.681919,0.802952,0.659779,0.612546,gmm,0.826724,0.502135,0.324588,-0.9929906725883484,-0.020431840792298317,0.8721368312835693,0.6806434392929077,-0.053218647837638855,0.9964842796325684,-0.750033438205719,1.4945601224899292,,,1.1759635210037231,0.9924986362457275,1.0311706066131592,0.8566115498542786,0.8811203241348267,1.0485670566558838,0.9615699648857117,1.0459718704223633,,,,,,,,,,,,,,,,,,,,,,
721,0.885714,0.6,0.771429,0.885714,0.657143,0.571429,kmeans,0.875,0.525,0.35,0.45750293135643005,0.6541927456855774,0.8630916476249695,-0.24690787494182587,-1.4685834646224976,0.2928965985774994,0.291549414396286,0.334116667509079,,,0.6828135251998901,0.659791111946106,0.7640055418014526,0.7983936071395874,0.6190791130065918,0.7429099082946777,0.767901599407196,0.7431980967521667,,,,,,,,,,,,,,,,,,,,,,
335,0.5,0.981818,0.581818,0.5,0.718182,0.436364,dbscan,0.990991,0.522523,0.468468,1.163175344467163,-0.05302337184548378,0.6737672686576843,0.135110542178154,0.12225312739610672,0.37563398480415344,0.8172974586486816,1.0820213556289673,,,1.5260839462280273,1.6202470064163208,1.3897309303283691,1.2789005041122437,1.3922638893127441,1.540165901184082,1.2995619773864746,1.421172857284546,,,,,,,,,,,,,,,,,,,,,,
896,0.702381,0.702381,0.642857,0.833333,0.702381,0.642857,gmm,0.84,0.56,0.28,0.512328565120697,-0.4650387167930603,-0.6629698276519775,-1.1936432123184204,-0.08235222846269608,-0.44430360198020935,0.3403092324733734,0.09766271710395813,,,1.3637056350708008,1.006042242050171,1.1210300922393799,1.0778005123138428,0.7898740172386169,0.9184696078300476,1.1679720878601074,0.8798937201499939,,,,,,,,,,,,,,,,,,,,,,
46584,0.72973,0.608108,0.513514,0.689189,0.756757,0.743243,autoenc,0.552239,0.313433,0.238806,-0.6345749497413635,-0.6361353993415833,0.6324440240859985,0.4511200487613678,0.254509299993515,-0.038011666387319565,0.27150142192840576,-0.21928587555885315,,,3.605081796646118,4.501143932342529,4.183933734893799,3.1635162830352783,3.7188680171966553,4.799129962921143,5.347845077514648,4.249786376953125,,,,,,,,,,,,,,,,,,,,,,
45022,0.954142,1.058353,0.988504,0.98738,0.948144,0.926653,dbscan,0.562878,0.5,0.062878,-0.7590373158454895,-1.4345303773880005,0.6397382020950317,-0.35140305757522583,-0.0829114243388176,1.147188663482666,-0.19158479571342468,-0.4903903007507324,,,1.3118398189544678,1.2459821701049805,0.8267656564712524,1.1049418449401855,1.031805396080017,1.2892311811447144,0.38070613145828247,0.5115143060684204,,,,,,,,,,,,,,,,,,,,,,
45026,0.700486,0.700486,0.700486,0.700486,0.700486,0.703266,dictlearn,0.7195,0.5,0.2195,-0.3879969120025635,-0.4766133725643158,-1.1190078258514404,-1.8255897760391235,-0.4564601480960846,0.7633891701698303,-1.2390116453170776,-1.923913836479187,,,1.5665717124938965,1.5180624723434448,3.047593832015991,3.200665235519409,3.4466922283172607,1.797275185585022,4.567404747009277,2.342301368713379,,,,,,,,,,,,,,,,,,,,,,
32,0.687299,0.326914,0.699679,0.821641,0.684548,0.574966,gmm,0.991814,0.104138,0.887676,0.6647793054580688,-0.53315269947052,1.6993401050567627,0.38789331912994385,-1.0275696516036987,-0.5934361815452576,-0.4134281575679779,-2.8312008380889893,0.8197940587997437,2.9723849296569824,0.596410870552063,0.8071422576904297,0.934899628162384,0.8185270428657532,0.9004142880439758,0.9023125767707825,0.6949703693389893,0.6489489078521729,0.589631974697113,0.4970061779022217,0.165962353348732,-0.7382255792617798,-0.1033027321100235,-1.759191870689392,-0.15325716137886047,0.21276693046092987,0.847767174243927,0.0830746665596962,-1.6318167448043823,-0.9452547430992126,0.4817529022693634,0.7218369841575623,0.4751179814338684,0.8473274111747742,0.5044152736663818,0.5209993124008179,0.33502358198165894,0.8844029307365417,0.7698227763175964,0.7907006144523621
